"Observation","Cooks_Distance"
163,0.000851821213467758
164,0.0110596692005578
165,0.000165093047040966
166,1.58104631855629e-06
167,4.05155843774206e-07
168,0.00760235543716962
169,7.47232011137095e-07
170,8.29453517730489e-05
171,1.99782871333847e-06
172,0.00245544383082914
173,7.44212594266456e-05
174,0.000279166752291191
175,0.00468214902542264
176,3.8444806599644e-07
177,1.94300264256775e-05
178,2.91098602178243e-05
179,7.46937853895866e-06
180,7.84486400948207e-07
181,1.66010691623534e-07
182,1.84016450739948e-06
183,4.65037945911812e-05
184,2.22519464130295e-05
185,0.00105608272944849
186,0.000455092064634587
187,4.08280996389629e-08
188,0.000116057092023886
189,1.71146410653274e-08
190,0.00776143220992337
191,0.00299210997952148
192,0.000140060056149516
193,0.00108334670150023
194,1.54647608322055e-05
195,2.94734693996199e-05
196,5.02132944724735e-06
197,6.22557852511334e-07
198,0.000100212244435145
199,4.51520401541533e-06
200,3.87889615171913e-06
201,2.48183758922205e-05
202,5.85731770768109e-06
203,0.0122611892869093
204,9.22743741262896e-05
205,1.06690121279768e-05
206,8.81350457053198e-07
207,2.88433329739658e-06
208,0.000253405376966092
209,9.36585004949911e-08
210,8.61643474820461e-06
211,0.00056358636445659
212,3.42271777007901e-07
213,0.000363395881330093
214,0.0005925916612426
215,0.00281914576765403
216,0.000185705321468676
217,9.14636580896288e-05
218,1.63482843838903e-07
219,3.80414550420815e-05
220,2.03135341281445e-07
221,0.0300695470646814
222,4.13657212033201e-07
223,1.4274438894853e-06
224,6.96880777966902e-07
225,0.00326429710621355
226,1.2826391028247e-05
227,5.86230851922558e-07
228,1.64747311148421e-06
229,2.28288740965663e-06
230,4.60076577342888e-05
231,4.88862795350082e-05
232,0.00515706293163593
233,2.558396023117e-07
234,0.00833487783882781
235,2.78974329590508e-06
236,0.00156519829406778
237,1.90101174922988e-06
238,0.000440615944368146
239,0.000289949286590435
240,0.00190257835787685
241,0.00103496357852972
242,0.00226796290721179
243,1.1734705156486e-05
244,9.10551592610221e-05
245,0.00193231375244424
246,1.86171858719536e-05
247,1.6016116111396e-05
248,1.41570215925913e-05
249,2.44124977855751e-06
250,5.72998665832493e-07
251,1.57084342470717e-05
252,0.00116147178275388
253,0.0014819170482295
254,7.38650158906903e-05
255,0.000145762141692538
256,0.000831244191280391
257,0.000239578562517023
258,0.00736994961287923
259,0.00104859509636908
260,0.000825715048093254
261,0.000344624556260788
262,3.1285621304791e-07
263,0.00148407009180112
264,0.0050683035069337
265,0.000356572018364646
266,2.27202349960051e-07
267,4.6893444692367e-05
268,4.28375004745539e-05
269,8.49843884354092e-06
270,0.00153969137571204
271,0.00273430258682534
272,0.000259909097157946
273,1.0518294068124e-06
274,5.75995026801124e-07
275,7.49592493449272e-07
276,4.14896172154171e-05
277,0.00023645015799011
278,2.02199216576888e-07
279,1.18848568778939e-05
280,2.76524812326346e-05
281,1.22607910446668e-06
282,8.99033841684752e-05
283,1.01894392666783e-05
284,0.000323983958039498
285,0.000166831266174656
286,0.000906311282378265
287,5.14312101910205e-06
288,7.87432875929327e-06
289,1.69398728476725e-06
290,4.12572639541095e-08
291,6.62193878795526e-06
292,0.000453216606613251
293,0.000529751214395262
294,2.75622829377345e-05
295,5.79995322741082e-08
296,0.00559896752277554
297,0.00223310441821173
298,0.000880130074563722
299,8.76691345723431e-05
300,0.000209305940198731
301,6.49153931443701e-06
302,2.40229249157419e-05
303,2.19930349878922e-07
304,1.53615101549085e-06
305,2.207697827574e-06
306,3.27686039254838e-05
307,9.14964000663322e-05
308,0.000475666180627468
309,0.000795212812028199
310,5.15051945595111e-05
